Ноутбуки и планшеты / Ноутбуки;цена, руб;Г;М;Л;Ц;Ч;У;А;ГА;ПР;ИС;С;ЦН;БЕ;ИМ;Б;ЖИ;СП
"13.3"" Ультрабук Asus (UX303LN) (FHD) i7 4510U(2.0)/4096/SSD 256/NV 840M 2Gb/WiFi/BT/Cam/Win8";92990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук Asus (UX32LA)(HD) i3 4010U(1.7)/4096/500/IntelHD4400/WiFi/BT/Cam/Win8";52990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук Asus (UX32LA)(HD) i7 4510U (2.0)/8192/1Tb/IntelHD4400/WiFi/BT/Cam/Win8";70990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук Asus (UX32LN)(FHD) i7 4510U(2.0)/8192/1Tb/NV GT840 2Gb/WiFi/BT/Cam/Win8.1";83990;Г;;;;;;;;;;;;;;;;
"13.3"" Ультрабук Asus (UX32LN)(FHD) i7 4510U(2.0)/8192/SSD 256/NV GT840 2Gb/WiFi/BT/Cam/Win8.1";88990;Г;;;;;;;;;;;;;;;;
"14"" Ноутбук Asus (X453MA)(HD) Celeron N2840(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8.1";20990;Г;М;Л;Ц;Ч;У;А;ГА;;;С;;;;Б;;СП
"14"" Ноутбук Asus (X453MA)(HD) Pentium N3540(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8.1";21490;;;;;;;;ГА;;;С;;;;;;
"14"" Ноутбук Asus (X455LD)(HD) i3 4030U(1.9)/4096/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";33990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (X553MA)(HD) Celeron N2830(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8.1/White";21990;Г;М;Л;Ц;Ч;У;А;;;;С;;;;;;СП
"15.6"" Ноутбук Asus (F553MA)(HD) Celeron  N2830(2.16)/2048/500/IntelHD/WiFi/BT/Cam/Win8.1/Black";22490;Г;М;Л;Ц;Ч;У;А;ГА;ПР;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук-трансформер Asus (TP500LA)(HD/Touch) i3 4030U(1.9)/4096/750/IntelHD/WiFi/BT/Cam/Win8.1";47990;Г;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Asus (G56JR)(FHD) i5 4200H(2.8)/4096/750/NV GTX760M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8";52990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (K550DP)(HD) AMD A8-5550M(2.1)/4096/750/AMD HD8670M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8";43990;;М;;Ц;Ч;У;А;;;;С;ЦН;;;Б;;СП
"15.6"" Ноутбук Asus (K555LA)(HD) i3 5010U(2.1)/4096/500/IntelHD/DVD-SMulti/WiFi/BT/Cam/Win8.1";42990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (K555LD)(HD) i3 4030U(1.9)/6144/500/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";32990;Г;;;;;;;;;;;ЦН;;;;;
"15.6"" Ноутбук Asus (K555LD)(HD) i5 4210U(1.7)/8192/750/NV 820M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";42990;;;;;;;;;ПР;;;;;;;;
"15.6"" Ноутбук Asus (N550JK)(FHD) i7 4710HQ(2.5)/8192/1Tb/NV GTX850M 4Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";69990;Г;;;;;У;;;;;;;;;;;
"15.6"" Ноутбук Asus (N550JK)(FHD) i7 4710HQ(2.5)/12288/1Tb/NV GTX850M 4Gb/Blu-ray/WiFi/BT/Cam/Win8.1";84990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (N551JM)(FHD) i5 4200H(2.8)/4096/1Tb/NV GTX860M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";51990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (N551JM)(FHD) i7 4710HQ(2.5)/12288/1Tb/NV GTX860M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";74990;Г;;;;;У;;;;;;ЦН;;;Б;;
"15.6"" Ноутбук Asus (N551JM)(FHD) i5 4200H(2.8)/8192/1Tb/NV GTX860M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";51990;;;;;;;;ГА;;;С;;;;;;
"15.6"" Ноутбук Asus (N56JN)(FHD) i7 4710HQ(2.5)/6144/750/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";55990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук-трансформер Asus (TP500LA)(HD/Touch) i5 4210U(1.7)/4096/1Tb/IntelHD/WiFi/BT/Cam/Win8.1";44990;;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук-трансформер Asus (TP500LN)(HD/Touch) i7 4510U(2.0)/8192/1Tb/NV 840M 2Gb/WiFi/BT/Cam/Win8.1";59990;;;;Ц;Ч;У;;;;;С;;;;;;
"15.6"" Ноутбук-трансформер Asus (TP500LN)(HD/Touch) i5 4210U(1.7)/6144/750/NV 840M 2Gb/WiFi/BT/Cam/Win8.1";50990;Г;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Asus (X550JK)(HD) i7 4710HQ(2.5)/8192/1Tb/NV GTX850M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";64990;Г;;Л;;Ч;;;;ПР;;;;;;Б;;СП
"15.6"" Ноутбук Asus (X550LN)(HD) i3 4010U(1.7)/4096/500/NV 840M 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";32990;;;;Ц;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (X550ZA)(HD) AMD A8-7200P(2.4)/4096/1Tb/AMD Radeon R5/DVD-SMulti/WiFi/BT/Cam/Win8";33990;;;;Ц;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (X550ZE)(HD) AMD A10-7400P(2.5)/8192/1Tb/AMD R5 M230 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8.1";48990;Г;;;;;;;;;;;;;;;;
"15.6"" Ноутбук Asus (X550ZE)(FHD) AMD FX-7600P(2.7)/8192/1Tb/AMD R5 M230 2Gb/DVD-SMulti/WiFi/BT/Cam/Win8";43490;Г;;;;Ч;;;;;;;;;;;;
"15.6"" Ноутбук Asus (X552CL/F552CL)(HD) i3 3217U(1.8)/4096/500/NV 710M 1Gb/DVD-SMulti/WiFi/BT/Cam/Win8";32490;;;;;;;;;;;С;;;;;;
"15.6"" Ноутбук Asus (X552EP)(HD) AMD A6-5200M(2.0)/4096/500/AMD HD8670M 1Gb/DVD-SMulti/WiFi/BT/Cam/Dos";27990;Г;;;;;;;;;;;ЦН;;;;;
